artist_name,track_name,track_id,popularity
Olivia Rodrigo,good 4 u,4ZtFanR9U6ndgddUvNcjcG,99
Schoolgirl Byebye,"Year,2015",0UsmyJDsst2xhX1ZiFF3JW,25
Years & Years,King - Acoustic,0KiPCHHB1cQdWxWrORdXGt,0
Doja Cat,Kiss Me More (feat. SZA),748mdHapucXQri7IAO8yFK,98
Anthem Lights,K-LOVE Fan Awards: Songs of the Year (2015 Mash-Up),5rJw9VsPNdfnV9Ar97xZG2,33
Satoshi Love,wish i dropped out like brakence interlude,7BFk1nSfwfkDOgnNNeY7Yn,0
Years & Years,King,7hCUv1ll5KnIsC86qPEHKK,3
Olivia Rodrigo,traitor,5CZ40GBx1sQ9agT82CLQCT,95
Anthem Lights,K-Love Fan Awards: Songs of the Year (2014 Mash-Up),00ohIpPn9LkKpeIqhfIU9V,27
Lady Gaga,Poker Face,4liFTpYparE2zEUp2GfG64,33
Years & Years,King,4uaPh9n24VKMJMsvApyz2C,0
Polo G,RAPSTAR,43PGPuHIlVOc04jrZVh9L6,93
Hammock,Longest Year - 2020,51TAp7p7B3xboCl5HWmEkF,28
Juice WRLD,Bad Boy (with Young Thug),43CIWpJaJHRcI4mUSjqgc2,79
Years & Years,Shine,5wlZFRYthpXecXCzszqoe9,0
Lil Nas X,MONTERO (Call Me By Your Name),67BtfxlNbhBmCDR2L2l8qd,100
The Kiboomers,The Months of the Year - 2014 Version,58lQgf1Y5gRJRr6S0Nwp50,29
Justin Bieber,Anyone,31qCy5ZaophVA81wtlwLc4,83
Years & Years,King,4kvfXqwnmXHY1g21gfSvjZ,3
Olivia Rodrigo,favorite crime,5JCoSi02qi3jJeHdZXMmR8,94
Tori Amos,Pretty Good Year - 2015 Remaster,70euagGKfDWkSQCoZtHFdh,23
Taylor Swift,Love Story (Taylor’s Version),3CeCwYWvdfXbZLXFhBrbnf,76
Years & Years,Starstruck - Kylie Minogue Remix,4AgEq4UqCDn0iCfgpQX37j,1
Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),4iJyoBOLtHqaGxP12qzhQI,98
Riff Raff,Rookie of the Year 2013,4KoDsg2EbYPgqpXSrKqB7F,19
Saweetie,Best Friend (feat. Doja Cat),2etHQJxIbV0soyPhelVs9Y,87
Years & Years,Breathe,6iMQWCAM7nGkogSmOKVKea,0
Olivia Rodrigo,happier,2tGvwE8GcFKwNdAXMnlbfl,94
Eagles,Funky New Year - 2013 Remaster,7tJS1cjSD1P8bodNGblYiK,18
Olivia Rodrigo,deja vu,6HU7h9RYOaPRFeh0R3UeAr,94
